,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
14989,24357466.389999885,24613708.379999876,26090535.655000113,28430203.540000238,31848828.890000902
14990,48594634.40999988,49050706.559999876,52038740.130000114,56662484.79000024,63516752.950000905
14991,25275911.35999988,25783501.639999874,27580882.550000113,29927075.155000236,34694857.0400009
14992,1957188.3099998832,2516296.719999872,3123024.9700001106,3191665.520000238,5872961.130000897
14993,978594.1549998831,1258148.359999872,1561512.4850001105,15468715.405000238,44457443.4400009
14994,0.0,0.0,1.103617250919342e-07,27745765.290000234,83041925.7500009
14995,4166973.979999883,2914123.984999872,768631.0450001104,14399657.875000235,42166405.73500089
14996,8245647.709999884,5674695.844999872,1308943.1600001105,771349.8000002354,966336.6200008914
14997,4166973.9799998836,2914123.9849998723,768631.0450001104,526775.2300002354,645442.8600008915
14998,88300.24999988358,153552.1249998724,11442578.720000109,31620777.930000234,25990143.425000887
14999,0.0,0.0,22428519.58000011,62677154.54000024,51331188.650000885
15000,0.0,0.0,11214259.79000011,31338577.270000238,25843831.230000887
15001,0.0,0.0,1.1175870895385742e-07,2.384185791015625e-07,356473.810000889
15002,9566584.489999883,9422271.824999873,5825719.780000112,896431.6100002384,710244.625000889
15003,19133168.979999885,18844543.64999987,11651439.560000112,1792863.2200002384,1064015.440000889
15004,9695756.809999885,9548562.934999872,5958374.945000111,964915.3000002383,600798.0650008889
15005,258344.6399998851,252582.21999987215,265310.3300001109,136967.38000023842,137580.6900008889
15006,162963.3299998851,157889.52499987214,165126.09000011088,99813.58500023841,93953.0450008889
15007,67582.01999988512,63196.82999987215,64941.85000011086,62659.7900002384,50325.4000008889
15008,33791.009999885115,31598.414999872148,3146448.310000111,20498700.975000236,30522495.62500089
15009,0.0,0.0,6227954.77000011,40934742.16000023,60994665.85000089
15010,106.47499988511262,309.4949998721469,3114483.325000111,20468341.41500023,30498676.69500089
15011,212.94999988511262,618.9899998721469,1011.8800001111813,1940.6700002327561,2687.5400008894503
15012,106.47499988511262,309.4949998721469,505.9400001111813,12945.085000232757,8390.955000889451
15013,0.0,0.0,1.1118129350506933e-07,23949.500000232758,14094.370000889452
15014,0.0,0.0,1.1118129350506933e-07,34009.39000023276,15600.830000889451
15015,0.0,0.0,1.1118129350506933e-07,44069.28000023276,17107.29000088945
15016,0.0,0.0,1.1118129350506933e-07,28562.48500023276,12390.95000088945
15017,0.0,0.0,1.1118129350506933e-07,13055.69000023276,7674.61000088945
15018,93287.25999988511,65974.82499987214,70264.18000011117,46602.795000232756,4229.77000088945
15019,186574.51999988512,131949.64999987214,140528.36000011116,80149.90000023275,784.9300008894502
15020,146004.79499988514,193488.21499987214,219107.62500011118,152049.74500023277,82474.82500088945
15021,105435.06999988515,255026.77999987215,297686.8900001112,223949.59000023274,164164.72000088947
15022,63417.74999988514,147497.14999987214,164374.75000011118,132537.44500023272,112122.60000088946
15023,21400.429999885135,39967.51999987215,31062.610000111163,41125.30000023272,60080.48000088947
15024,366059.6849998851,501936.6799998721,332892.2000001112,246654.5850002327,544821.8750008895
15025,710718.939999885,963905.839999872,634721.7900001112,452183.8700002327,1029563.2700008897
15026,355455.3699998851,482231.269999872,318567.0400001112,226962.96000023274,518619.7200008896
15027,191.79999988514464,556.699999872013,2412.290000111214,1742.0500002327317,7676.17000088963
15028,95.89999988514464,278.349999872013,1206.145000111214,871.0250002327317,3889.525000889629
15029,0.0,0.0,1.1121392162749544e-07,2.3273173610505182e-07,102.88000088962917
15030,87382.71499988514,140715.369999872,174633.6600001112,213646.80000023273,247854.82500088963
15031,174765.42999988515,281430.739999872,349267.32000011124,427293.6000002327,495606.7700008896
15032,87382.71499988515,140715.369999872,174633.66000011124,213646.8000002327,1415594.2000008896
15033,0.0,0.0,1.1123484000563622e-07,2.327142283320427e-07,2335581.6300008893
15034,27472655.319999885,38572369.03999987,52116882.91000011,68596887.03000024,88386977.7450009
15035,54945310.63999988,77144738.07999986,104233765.82000011,137193774.06000024,174438373.8600009
15036,28708696.004999883,39508675.23999987,52822697.44000012,69307691.92500025,89327346.2500009
15037,2462311.519999884,1798865.35499987,1214661.6350001171,1231477.6050002426,2695595.8100008816
15038,1233534.6399998842,873498.6849998701,545417.5900001172,549084.9700002426,632765.2850008816
15039,7263.804999884218,26013.36499987007,59445.53500011726,41554.0500002426,1013143.4750008818
15040,0.0,15073.83499987007,22875.050000117262,13141.7900002426,968383.0550008818
15041,0.0,47733.67999987007,137521.8900001173,146684.56000024258,505938.66500088165
15042,2506.0449998842178,47733.67999987007,137521.8900001173,148578.1350002426,507010.98000088165
15043,27555.27499988422,6624.439999870076,18925.935000117286,31477.22000024258,18832.2800008817
15044,50098.45999988422,13248.879999870074,37851.870000117284,59167.29000024259,34383.18000088169
15045,25049.229999884217,6624.439999870075,33146.38000011728,91716.72500024259,86621.7500008817
15046,0.0,0.0,28440.890000117277,124266.1600002426,138860.3200008817
15047,4106.834999884218,7519.299999870075,34062.05000011728,72503.37000024259,86490.64500088172
15048,8213.669999884218,15038.599999870075,39683.21000011727,20740.580000242582,34120.970000881716
15049,4106.834999884218,7519.299999870075,19841.605000117273,10370.290000242581,17099.185000881713
15050,0.0,0.0,1.1727388482540846e-07,2.425804268568754e-07,77.40000088171291
15051,38168.31999988422,63532.98999987007,59036.62000011728,87150.27500024257,146801.21000088172
